id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
3,Griffin,Devinn,M,11/16/2021,,China,4,4,Ford,Fusion,10791.07
7,Gustave,Donwell,M,10/11/2021,,Iran,18,18,Pontiac,Firefly,83563.55
10,Jobye,Raatz,F,10/5/2021,,China,5,5,Chevrolet,Cavalier,88600.29
25,Rodrigo,Goudge,M,7/10/2021,,Kazakhstan,32,32,spyker,C8 spyder Wide Body,43707.61
27,Simonette,Arndtsen,F,8/22/2021,,Uganda,40,40,Chevrolet,G-series G30,76213.55
29,Kayley,Nursey,F,10/24/2021,,Libya,42,42,Toyota,sequoia,50884.64
30,Mackenzie,Lavery,M,4/25/2021,,Canada,47,47,Audi,Cabriolet,29099.69
32,Felita,Valasek,F,9/7/2021,,Vietnam,49,49,Infiniti,Q,17456.82
34,Engracia,Redgate,F,6/13/2021,,Yemen,34,34,Cadillac,CTs-V,69317.24
35,Finn,Cominotti,M,7/26/2021,,Indonesia,33,33,GMC,2500 Club Coupe,96010.19
36,Jocelin,Pittway,F,5/18/2021,,Indonesia,20,20,Chevrolet,Astro,38095.81
37,Aylmar,Lafontaine,M,9/2/2021,,Portugal,23,23,Buick,Riviera,16788.04
38,Truda,Mundell,F,11/10/2021,,Indonesia,21,21,Chevrolet,Expres,29012.04
41,Bartholomeo,Danielou,M,1/11/2021,,China,13,13,Mazda,MX-5,88017.66
49,Tan,Shoesmith,M,8/25/2021,,Albania,45,45,Audi,4000s,55937.63
53,Mirelle,Screeton,F,10/20/2021,,Mali,58,58,Volkswagen,rio,39766.45
55,Clemente,Broszkiewicz,M,5/17/2021,,Russia,60,60,Mercedes-Benz,E-Clas,99322.04
67,Addie,Arlt,M,4/26/2021,,Nigeria,67,67,Jaguar,s-Type,52823.81
70,Merrile,Caddie,F,7/14/2021,,France,54,54,BMW,5 series,46785.41
82,Tremayne,Luten,M,9/28/2021,,Cambodia,63,63,Lotus,Esprit,28967.48
83,Thedric,Gini,M,4/9/2021,,Indonesia,64,64,GMC,Jimmy,28476.97
90,Gannon,Polotti,M,1/31/2021,,Thailand,56,56,Volvo,s90,86242.46
94,Hasheem,Trusdale,M,11/12/2021,,Indonesia,65,65,Volkswagen,Pasat,80212.52
