id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
2,Sabine,MacKellar,F,2021-08-15,smackellar1@umn.edu,France,1,1,GMC,sierra 2500,76835.03
5,Deloris,Ianittello,F,2021-01-03,dianittello4@kickstarter.com,China,2,2,Ford,Econoline E150,41874.09
6,Sylvia,Possek,F,2021-12-11,spossek5@answers.com,Czech Republic,17,17,Lexus,Is,16086.44
11,Donni,Dmytryk,F,2021-05-18,ddmytryka@istockphoto.com,Russia,50,50,suzuki,sidekick,71962.49
16,Roxane,Redwin,F,2021-11-29,rredwinf@storify.com,Ukraine,11,11,Mazda,Familia,90557.36
17,Perry,Coffey,F,2021-08-27,pcoffeyg@macromedia.com,Indonesia,16,16,Toyota,Matrix,63798.62
18,Toinette,Ryan,F,2021-01-15,tryanh@4shared.com,Czech Republic,19,19,Porsche,944,37300.65
20,Geneva,St. Quintin,F,2021-07-31,gstquintinj@creativecommons.org,Sweden,26,26,Mazda,Miata MX-5,47006.91
23,Darrelle,Brun,F,2021-02-24,dbrunm@nhs.uk,Indonesia,30,30,Pontiac,sunbird,27427.97
24,Irene,Whittet,F,2021-02-05,iwhittetn@ezinearticles.com,Germany,31,31,Toyota,4Runner,81015.79
28,Elizabeth,Piola,F,2021-06-11,epiolar@ehow.com,Saudi Arabia,41,41,Jeep,Grand Cherokee,81348.93
31,Micky,Flattman,F,2021-02-26,mflattmanu@cafepress.com,Indonesia,48,48,Chrysler,Concorde,62913.21
33,Katuscha,Karpushkin,F,2021-05-07,kkarpushkinw@jigsy.com,Sweden,35,35,Lexus,Gs,71091.02
43,Gale,Geany,F,2021-06-22,ggeany16@webmd.com,France,15,15,GMC,savana 3500,32478.57
44,Janna,MacPherson,F,2021-06-13,jmacpherson17@hud.gov,Portugal,8,8,subaru,Impreza WRX,17531.96
45,Glenine,Le Fleming,F,2021-02-26,glefleming18@networkadvertising.org,China,9,9,Mazda,Familia,21696.33
47,Emyle,Andrieux,F,2021-11-08,eandrieux1a@stumbleupon.com,China,36,36,Volkswagen,New Beetle,87327.17
50,Kessiah,MacFayden,F,2021-03-10,kmacfayden1d@squarespace.com,Ukraine,46,46,Ford,Mustang,94039.71
51,Danny,Gainsbury,F,2021-05-15,dgainsbury1e@cargocollective.com,China,28,28,Mitsubishi,Mirage,13263.86
54,Ermengarde,Sillito,F,2021-08-01,esillito1h@japanpost.jp,Niger,59,59,Lexus,RX,40410.33
59,Coral,Kinmond,F,2021-04-05,ckinmond1m@illinois.edu,Portugal,70,70,Mercedes-Benz,sprinter 3500,21927.92
60,Margalo,Drage,F,2021-09-01,mdrage1n@phpbb.com,Belarus,53,53,Pontiac,GTO,68433.38
66,Andrei,Winkless,F,2021-07-11,awinkless1t@yellowbook.com,Thailand,66,66,Buick,Lesabre,68648.11
71,Ottilie,Lockitt,F,2021-02-08,olockitt1y@sbwire.com,Canada,57,57,Buick,Century,82240.33
78,Randy,Bawme,F,2021-09-24,rbawme25@pen.io,China,68,68,Kia,sportage,28033.48
79,Maressa,Gaze,F,2021-09-08,mgaze26@freewebs.com,China,69,69,Cadillac,DeVille,13721.34
80,Roxi,Dobsons,F,2021-02-08,rdobsons27@parallels.com,China,55,55,Dodge,Daytona,84730.77
81,Gilda,Beininck,F,2021-05-21,gbeininck28@miibeian.gov.cn,Poland,62,62,Mercedes-Benz,sL-Clas,50406.25
