id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
3,Griffin,Devinn,M,2021-11-16,,China,4,4,Ford,Fusion,10791.07
7,Gustave,Donwell,M,2021-10-11,,Iran,18,18,Pontiac,Firefly,83563.55
25,Rodrigo,Goudge,M,2021-07-10,,Kazakhstan,32,32,spyker,C8 spyder Wide Body,43707.61
30,Mackenzie,Lavery,M,2021-04-25,,Canada,47,47,Audi,Cabriolet,29099.69
35,Finn,Cominotti,M,2021-07-26,,Indonesia,33,33,GMC,2500 Club Coupe,96010.19
37,Aylmar,Lafontaine,M,2021-09-02,,Portugal,23,23,Buick,Riviera,16788.04
41,Bartholomeo,Danielou,M,2021-01-11,,China,13,13,Mazda,MX-5,88017.66
49,Tan,Shoesmith,M,2021-08-25,,Albania,45,45,Audi,4000s,55937.63
55,Clemente,Broszkiewicz,M,2021-05-17,,Russia,60,60,Mercedes-Benz,E-Clas,99322.04
67,Addie,Arlt,M,2021-04-26,,Nigeria,67,67,Jaguar,s-Type,52823.81
82,Tremayne,Luten,M,2021-09-28,,Cambodia,63,63,Lotus,Esprit,28967.48
83,Thedric,Gini,M,2021-04-09,,Indonesia,64,64,GMC,Jimmy,28476.97
90,Gannon,Polotti,M,2021-01-31,,Thailand,56,56,Volvo,s90,86242.46
94,Hasheem,Trusdale,M,2021-11-12,,Indonesia,65,65,Volkswagen,Pasat,80212.52
