id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
62,Win,Redmain,M,2021-05-05,wredmain1p@mayoclinic.com,Russia,,,,,
63,Thoma,Braney,M,2021-01-22,,Indonesia,,,,,
68,Heriberto,Stiddard,M,2021-07-19,hstiddard1v@wisc.edu,China,,,,,
72,Paxton,Fairest,M,2021-12-06,pfairest1z@tinyurl.com,China,,,,,
73,Izaak,Newcomen,M,2021-05-02,inewcomen20@deviantart.com,Japan,,,,,
84,Pall,Pheasant,M,2021-06-24,,Peru,,,,,
85,Hobard,Grimstead,M,2021-10-02,,Afghanistan,,,,,
87,Joshia,Lendrem,M,2021-05-21,jlendrem2e@indiegogo.com,Brazil,,,,,
88,Faulkner,Kevane,M,2021-01-16,,Malawi,,,,,
92,Corbet,Formilli,M,2021-03-04,,Philippines,,,,,
97,Steven,Mulbery,M,2021-11-19,smulbery2o@kickstarter.com,South Korea,,,,,
