id,first_name,last_name,gender,date_of_birth,email,country_of_birth,car_id,id,make,model,price
57,Tami,Demanche,F,2020-12-27,,China,,,,,
63,Thoma,Braney,M,2021-01-22,,Indonesia,,,,,
64,Dede,Janicki,F,2021-01-20,,China,,,,,
69,Tabbie,Tinsey,F,2021-09-28,,Indonesia,,,,,
74,Pearline,Gather,F,2021-12-11,,Dominican Republic,,,,,
75,Ginny,Somerled,F,2021-03-24,,China,,,,,
77,Halley,Gilhooley,F,2021-07-24,,Pakistan,,,,,
84,Pall,Pheasant,M,2021-06-24,,Peru,,,,,
85,Hobard,Grimstead,M,2021-10-02,,Afghanistan,,,,,
88,Faulkner,Kevane,M,2021-01-16,,Malawi,,,,,
91,Devondra,Latchford,F,2021-01-19,,Nigeria,,,,,
92,Corbet,Formilli,M,2021-03-04,,Philippines,,,,,
